significance;uniquename;name;searchname;altname;type;gatewaylink;age;area;canon;illustrator;placeholder
"5";"AmonRudh";"Amon Rûdh";"Amon Rudh";"";"Mountain";"http://tolkiengateway.net/wiki/Amon_R%C3%BBdh";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"2";"Anach";"Anach";"Anach";"";"Pass";"http://tolkiengateway.net/wiki/Anach";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Andram";"Andram";"Andram";"";"Wall";"http://tolkiengateway.net/wiki/Andram";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"2";"Andrast";"Andrast";"Andrast";"";"Cape";"http://tolkiengateway.net/wiki/Andrast";"Third Age";""Middle-earth","Gondor"";"1";"";""
"2";"Andrath";"Andrath";"Andrath";"";"Pass";"http://tolkiengateway.net/wiki/Andrath";"Third Age";""Middle-earth","Eriador"";"2";"";""
"2";"Androth";"Androth";"Androth";"";"Cave";"http://tolkiengateway.net/wiki/Androth";"First Age";""Middle-earth","Beleriand"";"1";"";""
"6";"Anduin";"Anduin";"Anduin";"";"River";"http://tolkiengateway.net/wiki/Anduin";"Third Age";""Middle-earth","Eriador"";"1";"";""
"4";"Andunie";"Andúnië";"Andunie";"";"City";"http://tolkiengateway.net/wiki/And%C3%BAni%C3%AB";"Second Age";""Middle-earth","Númenor"";"2";"Matěj Čadil";""
"2";"Andustar";"Andustar";"Andustar";"";"Region";"http://tolkiengateway.net/wiki/Andustar";"Second Age";""Middle-earth","Númenor"";"1";"";""
"2";"Anfalas";"Anfalas";"Anfalas";""Langstrand","Andafalasse"";"Region";"http://tolkiengateway.net/wiki/Anfalas";"Third Age";""Middle-earth","Gondor"";"1";"";""
"4";"Anfauglith";"Anfauglith";"Anfauglith";"Ard-galen";"Desert";"http://tolkiengateway.net/wiki/Anfauglith";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"AngleEriador";"Angle (Eriador)";"Angle (Eriador)";"";"Region";"http://tolkiengateway.net/wiki/Angle_%28Eriador%29";"Third Age";""Middle-earth","Eriador"";"2";"";""
"2";"AngleLothlorien";"Angle (Lothlórien)";"Angle (Lothlorien)";"";"Region";"http://tolkiengateway.net/wiki/Angle_%28Lothl%C3%B3rien%29";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"6";"Angband";"Angband";"Angband";"";"Region";"http://tolkiengateway.net/wiki/Angband";"First Age";"Middle-earth";"1";"";""
"6";"Angmar";"Angmar";"Angmar";"";"Region";"http://tolkiengateway.net/wiki/Angmar";"Third Age";""Middle-earth","Eriador"";"1";"";""
"3";"AnnonInGelydh";"Annon-In-Gelydh";"Annon-In-Gelydh";"Gate of the Noldor";"Place";"http://tolkiengateway.net/wiki/Annon-in-Gelydh";"First Age";""Middle-earth","Rohan"";"1";"Peter Xavier Price";""
"3";"Annuminas";"Annúminas";"Annuminas";"";"Region";"http://tolkiengateway.net/wiki/Ann%C3%BAminas";"Third Age";""Middle-earth","Arnor"";"1";"";""
"3";"Anorien";"Anórien";"Anorien";"";"Region";"http://tolkiengateway.net/wiki/An%C3%B3rien";"Third Age";""Middle-earth","Gondor"";"1";"";""
"1";"Antaro";"Antaro";"Antaro";"";"Mountain";"http://tolkiengateway.net/wiki/Antaro";"First Age";""Aman","Valinor"";"2";"";""
"2";"Araman";"Araman";"Araman";"";"Region";"http://tolkiengateway.net/wiki/Araman";"First Age";"Aman";"1";"";""
"2";"Arandor";"Arandor";"Arandor";"";"Region";"http://tolkiengateway.net/wiki/Arandor";"Second Age";""Middle-earth","Númenor"";"1";"";""
"2";"Archet";"Archet";"Archet";"";"Village";"http://tolkiengateway.net/wiki/Archet";"Third Age";""Middle-earth","Arnor"";"2";"";""
"8";"Arda";"Arda";"Arda";"";"Region";"http://tolkiengateway.net/wiki/Arda";""First Age","Second Age","Third Age"";"";"2";"";""
"3";"ArdGalen";"Ard-galen";"Ard-galen";"Anfauglith";"Plain";"http://tolkiengateway.net/wiki/Ard-galen";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"Argonath";"Argonath";"Argonath";""Gate of Kings","Pillars of the Kings"";"Place";"http://tolkiengateway.net/wiki/Argonath";"Third Age";""Middle-earth","Gondor"";"1";"Ted Nasmith";""
"3";"Armenelos";"Armenelos";"Armenelos";"";"City";"http://tolkiengateway.net/wiki/Armenelos";"Second Age";""Middle-earth","Númenor"";"1";"";""
"7";"Arnor";"Arnor";"Arnor";"";"Region";"http://tolkiengateway.net/wiki/Arnor";"Second Age";""Middle-earth","Eriador"";"1";"";""
"5";"Aros";"Aros";"Aros";"";"River";"http://tolkiengateway.net/wiki/Aros";"First Age";""Middle-earth","Beleriand"";"1";"Matěj Čadil";""
"2";"Arossiach";"Arossiach";"Arossiach";"";"Ford";"http://tolkiengateway.net/wiki/Arossiach";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Arthedain";"Arthedain";"Arthedain";"";"Realm";"http://tolkiengateway.net/wiki/Arthedain";"Third Age";""Middle-earth","Eriador"";"1";"";""
"5";"Arthorien";"Arthórien";"Arthorien";"";"Region";"http://tolkiengateway.net/wiki/Arth%C3%B3rien";"First Age";""Middle-earth","Doriath"";"1";"";""
"4";"Arvernien";"Arvernien";"Arvernien";"";"Region";"http://tolkiengateway.net/wiki/Arvernien";"First Age";""Middle-earth","Beleriand"";"1";"";""
"4";"Ascar";"Ascar";"Ascar";"Rathlóriel";"River";"http://tolkiengateway.net/wiki/Ascar";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Avallone";"Avallónë";"Avallone";"";"City";"http://tolkiengateway.net/wiki/Avall%C3%B3n%C3%AB";"First Age";""Aman","Tol Eressëa"";"1";"";""
"3";"Avathar";"Avathar";"Avathar";"";"Region";"http://tolkiengateway.net/wiki/Avathar";"First Age";"Aman";"1";"";""
"6";"BagEnd";"Bag End";"Bag End";"";"House";"http://tolkiengateway.net/wiki/Bag_End";"Third Age";""Middle-earth","The Shire"";"1";"Šárka Škorpíková";""
"4";"BalinsTomb";"Balin's Tomb";"Balin's Tomb";"";"Place";"http://tolkiengateway.net/wiki/Balin%27s_Tomb";"Third Age";""Middle-earth","Moria"";"2";"";""
"2";"Bamfurlong";"Bamfurlong";"Bamfurlong";"";"House";"http://tolkiengateway.net/wiki/Bamfurlong";"Third Age";""Middle-earth","The Shire"";"2";"";""
"6";"BaradDur";"Barad-dûr";"Barad-dur";"";"Tower";"http://tolkiengateway.net/wiki/Barad-d%C3%BBr";"Second Age";""Middle-earth","Mordor"";"1";"Soni Alcorn-Hender";""
"4";"BaradEithel";"Barad Eithel";"Barad Eithel";"";"Stronghold";"http://tolkiengateway.net/wiki/Barad_Eithel";"First Age";""Middle-earth","Hithlum"";"1";"Matěj Čadil";""
"3";"BaradNimras";"Barad Nimras";"Barad Nimras";"";"Tower";"http://tolkiengateway.net/wiki/Barad_Nimras";"First Age";""Middle-earth","Beleriand"";"1";"Matěj Čadil";""
"3";"Baranduin";"Baranduin";"Baranduin";"";"River";"http://tolkiengateway.net/wiki/Baranduin";"Third Age";""Middle-earth","Eriador"";"1";"";""
"2";"BarErib";"Bar Erib";"Bar Erib";"";"Stronghold";"http://tolkiengateway.net/wiki/Bar_Erib";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"BarrowDowns";"Barrow-downs";"Barrow-downs";"Tyrn Gorthad";"Hill";"http://tolkiengateway.net/wiki/Barrow-downs";"Second Age";""Middle-earth","Eriador"";"1";"Anke Eissmann";""
"2";"Barrowfield";"Barrowfield";"Barrowfield";"";"Region";"http://tolkiengateway.net/wiki/Barrowfield";"First Age";""Middle-earth","Rohan"";"2";"";""
"3";"BattlePit";"Battle Pit";"Battle Pit";"";"Place";"http://tolkiengateway.net/wiki/Battle_Pit";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"BayOfAndunie";"Bay of Andúnië";"Bay of Andúnië";"";"Bay";"http://tolkiengateway.net/wiki/Bay_of_And%C3%BAni%C3%AB";"First Age";""Aman","Númenor"";"1";"";""
"4";"BayOfBalar";"Bay of Balar";"Bay of Balar";"";"Bay";"http://tolkiengateway.net/wiki/Bay_of_Balar";"First Age";""Middle-earth","Beleriand"";"1";"";""
"4";"BayOfBelfalas";"Bay of Belfalas";"Bay of Belfalas";"windy Bay of Bel";"Bay";"http://tolkiengateway.net/wiki/Bay_of_Belfalas";"Second Age";""Middle-earth","Gondor"";"1";"";""
"2";"BayOfEldanna";"Bay of Eldanna";"Bay of Eldanna";"";"Bay";"http://tolkiengateway.net/wiki/Bay_of_Eldanna";"Second Age";""Middle-earth","Númenor"";"1";"";""
"2";"BayOfRomenna";"Bay of Rómenna";"Bay of Romenna";"";"Bay";"http://tolkiengateway.net/wiki/Bay_of_R%C3%B3menna";"Second Age";""Middle-earth","Númenor"";"1";"";""
"8";"Belegaer";"Belegaer";"Belegaer";"";"Ocean";"http://tolkiengateway.net/wiki/Belegaer";"First Age";""Middle-earth","Aman"";"1";"Ted Nasmith";""
"4";"Belegost";"Belegost";"Belegost";"";"City";"http://tolkiengateway.net/wiki/Belegost";"First Age";""Middle-earth","Beleriand"";"1";"";""
"8";"Beleriand";"Beleriand";"Beleriand";"";"Region";"http://tolkiengateway.net/wiki/Beleriand";"First Age";""Middle-earth","Beleriand"";"2";"";""
"3";"Belfalas";"Belfalas";"Belfalas";"";"Region";"http://tolkiengateway.net/wiki/Belfalas";"Third Age";""Middle-earth","Gondor"";"1";"";""
"5";"BeornsHall";"Beorn's Hall";"Beorn's Hall";"";"House";"http://tolkiengateway.net/wiki/Beorn%27s_Hall";"Third Age";""Middle-earth","Rhovanion"";"1";"Ted Nasmith";""
"2";"BindboleWood";"Bindbole Wood";"Bindbole Wood";"";"Forest";"http://tolkiengateway.net/wiki/Bindbole_Wood";"Third Age";""Middle-earth","The Shire"";"1";"";""
"5";"BlackGate";"Black Gate";"Black Gate";"";"Place";"http://tolkiengateway.net/wiki/Black_Gate";"Third Age";""Middle-earth","Mordor"";"2";"Jan Pospíšil";""
"1";"BlackrootVale";"Blackroot Vale";"Blackroot Vale";"";"Valley";"http://tolkiengateway.net/wiki/Blackroot_Vale";"Third Age";""Middle-earth","Gondor"";"2";"";""
"6";"BlueMountains";"Blue Mountains";"Blue Mountains";""Ered Luin","Ered Lindon"";"Mountain Range";"http://tolkiengateway.net/wiki/Blue_Mountains";"Second Age";""Middle-earth","Lindon"";"1";"";""
"2";"BonfireGlade";"Bonfire Glade";"Bonfire Glade";"";"Place";"http://tolkiengateway.net/wiki/Bonfire_Glade";"Third Age";""Middle-earth","The Shire"";"2";"";""
"3";"BrandyHall";"Brandy Hall";"Brandy Hall";"";"House";"http://tolkiengateway.net/wiki/Brandy_Hall";"Third Age";""Middle-earth","The Shire"";"1";"Matěj Čadil";""
"4";"Brandywine";"Brandywine";"Brandywine";"";"River";"http://lotr.wikia.com/wiki/Brandywine_River";"Third Age";""Middle-earth","Eriador"";"1";"";""
"4";"BrandywineBridge";"Brandywine Bridge";"Brandywine Bridge";"Bridge of Stonebows";"Bridge";"http://tolkiengateway.net/wiki/Brandywine_Bridge";"Third Age";""Middle-earth","The Shire"";"1";"";""
"5";"Bree";"Bree";"Bree";"";"Village";"http://tolkiengateway.net/wiki/Bree";"Second Age";""Middle-earth","Arnor"";"1";"Soni Alcorn-Hender";""
"2";"BreeHill";"Bree-hill";"Bree-hill";"";"Hill";"http://tolkiengateway.net/wiki/Bree-hill";"Third Age";""Middle-earth","Eriador"";"2";"";""
"3";"BreeLand";"Bree-land";"Bree-land";"";"Region";"http://tolkiengateway.net/wiki/Bree-land";"Third Age";""Middle-earth","Eriador"";"1";"Matěj Čadil";""
"2";"Breredon";"Breredon";"Breredon";"";"Village";"http://tolkiengateway.net/wiki/Breredon";"Third Age";""Middle-earth","The Shire"";"2";"";""
"3";"Brethil";"Brethil";"Brethil";"";"Forest";"http://tolkiengateway.net/wiki/Brethil";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"2";"Bridgefields";"Bridgefields";"Bridgefields";"";"Region";"http://tolkiengateway.net/wiki/Bridgefields";"Third Age";""Middle-earth","The Shire"";"2";"";""
"1";"BridgeInn";"Bridge Inn";"Bridge Inn";"";"House";"http://tolkiengateway.net/wiki/Bridge_Inn";"Third Age";""Middle-earth","The Shire"";"2";"";""
"1";"BridgeOfEsgalduin";"Bridge of Esgalduin";"Bridge of Esgalduin";"";"Bridge";"http://tolkiengateway.net/wiki/Bridge_of_Esgalduin";"First Age";""Middle-earth","Beleriand"";"2";"";""
"5";"BridgeOfKhazadDum";"Bridge of Khazad-dûm";"Bridge of Khazad-dum";"";"Bridge";"http://tolkiengateway.net/wiki/Bridge_of_Khazad-d%C3%BBm";"Third Age";""Middle-earth","Moria"";"2";"";""
"3";"Brilthor";"Brilthor";"Brilthor";"";"River";"http://tolkiengateway.net/wiki/Brilthor";"First Age";""Middle-earth","Beleriand"";"1";"Matěj Čadil";""
"4";"Brithombar";"Brithombar";"Brithombar";"";"City";"http://tolkiengateway.net/wiki/Brithombar";"First Age";""Middle-earth","Beleriand"";"1";"Matěj Čadil";""
"3";"Brithon";"Brithon";"Brithon";"";"River";"http://tolkiengateway.net/wiki/Brithon";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"Brockenbores";"Brockenbores";"Brockenbores";"";"Place";"http://tolkiengateway.net/wiki/Brockenbores";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"BroddasHall";"Brodda's hall";"Brodda's hall";"";"Hall";"http://tolkiengateway.net/wiki/Brodda%27s_hall";"First Age";""Middle-earth","Beleriand"";"2";"";""
"3";"BrownLands";"Brown Lands";"Brown Lands";"";"Region";"http://tolkiengateway.net/wiki/Brown_Lands";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"4";"Bruinen";"Bruinen";"Bruinen";"Loudwater";"River";"http://tolkiengateway.net/wiki/Bruinen";"Third Age";""Middle-earth","Eriador"";"1";"Soni Alcorn-Hender";""
"2";"BuckHill";"Buck Hill";"Buck Hill";"";"Hill";"http://tolkiengateway.net/wiki/Buck_Hill";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"Buckland";"Buckland";"Buckland";"";"Region";"http://tolkiengateway.net/wiki/Buckland";"Third Age";""Middle-earth","The Shire"";"1";"Soni Alcorn-Hender";""
"2";"BucklandGate";"Buckland Gate";"Buckland Gate";"";"Gate";"http://tolkiengateway.net/wiki/Buckland_Gate";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"Bucklebury";"Bucklebury";"Bucklebury";"";"Village";"http://tolkiengateway.net/wiki/Bucklebury";"Third Age";""Middle-earth","The Shire"";"1";"";""
"3";"BuckleburyFerry";"Bucklebury Ferry";"Bucklebury Ferry";"";"Place";"http://tolkiengateway.net/wiki/Bucklebury_Ferry";"Third Age";""Middle-earth","The Shire"";"1";"";""
"2";"Budgeford";"Budgeford";"Budgeford";"";"Village";"http://tolkiengateway.net/wiki/Budgeford";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"Bywater";"Bywater";"Bywater";"";"Village";"http://tolkiengateway.net/wiki/Bywater";"Third Age";""Middle-earth","The Shire"";"1";"";""
"1";"BywaterPool";"Bywater Pool";"Bywater Pool";"";"Pond";"http://tolkiengateway.net/wiki/Bywater_Pool";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"BywaterRoad";"Bywater Road";"Bywater Road";"";"Road";"http://tolkiengateway.net/wiki/Bywater_Road";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"CabedEnAras";"Cabed-en-Aras";"Cabed-en-Aras";"";"Place";"http://tolkiengateway.net/wiki/Cabed-en-Aras";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"CairAndros";"Cair Andros";"Cair Andros";"";"Island";"http://tolkiengateway.net/wiki/Cair_Andros";"Third Age";""Middle-earth","Gondor"";"1";"";""
"3";"Calacirian";"Calacirian";"Calacirian";"";"Region";"http://tolkiengateway.net/wiki/Calacirian";"First Age";"Aman";"1";"Ted Nasmith";""
"4";"Calacirya";"Calacirya";"Calacirya";"";"Mountain";"http://tolkiengateway.net/wiki/Calacirya";"First Age";"Aman";"1";"Ted Nasmith";""
"2";"Calembel";"Calembel";"Calembel";"";"City";"http://tolkiengateway.net/wiki/Calembel";"Third Age";""Middle-earth","Gondor"";"1";"";""
"2";"Calenardhon";"Calenardhon";"Calenardhon";"";"Region";"http://tolkiengateway.net/wiki/Calenardhon";"Third Age";""Middle-earth","Rohan"";"1";"Ted Nasmith";""
"2";"Calenhad";"Calenhad";"Calenhad";"";"Mountain";"http://tolkiengateway.net/wiki/Calenhad";"Third Age";""White Mountains","Middle-earth"";"1";"";""
"2";"Calenhir";"Calenhir";"Calenhir";"";"River";"http://tolkiengateway.net/wiki/Calenhir";"Third Age";""Middle-earth","Gondor"";"2";"";""
"2";"Calmindon";"Calmindon";"Calmindon";"";"Tower";"http://tolkiengateway.net/wiki/Calmindon";"Second Age";""Middle-earth","Númenor"";"1";"";""
"2";"CapeBalar";"Cape Balar";"Cape Balar";"";"Cape";"http://tolkiengateway.net/wiki/Cape_Balar";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"CarachAngren";"Carach Angren";"Carach Angren";"";"Pass";"http://tolkiengateway.net/wiki/Carach_Angren";"Third Age";""Middle-earth","Mordor"";"2";"";""
"4";"Caradhras";"Caradhras";"Caradhras";"";"Mountain";"http://tolkiengateway.net/wiki/Caradhras";"Third Age";""Middle-earth","Moria"";"1";"Ted Nasmith";""
"3";"CarasGaladhon";"Caras Galadhon";"Caras Galadhon";"";"City";"http://tolkiengateway.net/wiki/Caras_Galadhon";"Third Age";""Middle-earth","Rhovanion"";"1";"Ted Nasmith";""
"2";"Carchost";"Carchost";"Carchost";"";"Tower";"http://tolkiengateway.net/wiki/Carchost";"Third Age";""Middle-earth","Mordor"";"2";"";""
"4";"Cardolan";"Cardolan";"Cardolan";"";"Realm";"http://tolkiengateway.net/wiki/Cardolan";"Third Age";""Middle-earth","Eriador"";"1";"";""
"2";"CarnDum";"Carn Dûm";"Carn Dum";"";"Stronghold";"http://tolkiengateway.net/wiki/Carn_D%C3%BBm";"Third Age";""Middle-earth","Eriador"";"1";"Matěj Čadil";""
"2";"Carnen";"Carnen";"Carnen";"";"River";"http://tolkiengateway.net/wiki/Carnen";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"4";"Carrock";"Carrock";"Carrock";"";"Mountain";"http://tolkiengateway.net/wiki/Carrock";"Third Age";""Middle-earth","Rhovanion"";"1";"Ted Nasmith";""
"2";"Causeway";"Causeway";"Causeway";"";"Road";"http://tolkiengateway.net/wiki/Causeway";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"CausewayForts";"Causeway Forts";"Causeway Forts";"";"Tower";"http://tolkiengateway.net/wiki/Causeway_Forts";"Third Age";""Middle-earth","Gondor"";"2";"";""
"1";"CausewayGondor";"Causeway (Gondor)";"Causeway (Gondor)";"";"Road";"http://tolkiengateway.net/wiki/Causeway_%28Gondor%29";"Third Age";""Middle-earth","Gondor"";"2";"";""
"3";"CavesOfTheForgotten";"Caves of the Forgotten";"Caves of the Forgotten";"";"Place";"http://tolkiengateway.net/wiki/Caves_of_the_Forgotten";"First Age";"Aman";"2";"";""
"4";"Celebdil";"Celebdil";"Celebdil";"Zirakzigil";"Mountain";"http://tolkiengateway.net/wiki/Celebdil";"Third Age";""Middle-earth","Moria"";"1";"Ted Nasmith";""
"3";"Celebrant";"Celebrant";"Celebrant";"";"River";"http://tolkiengateway.net/wiki/Celebrant";"Third Age";""Middle-earth","Rhovanion"";"1";"Ted Nasmith";""
"3";"Celebros";"Celebros";"Celebros";"";"River";"http://tolkiengateway.net/wiki/Celebros";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"Celon";"Celon";"Celon";"";"River";"http://tolkiengateway.net/wiki/Celon";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Celos";"Celos";"Celos";"";"River";http://tolkiengateway.net/wiki/Celos"";"Third Age";""Middle-earth","Gondor"";"1";"";""
"2";"CerinAmroth";"Cerin Amroth";"Cerin Amroth";"";"Place";"http://tolkiengateway.net/wiki/Cerin_Amroth";"Third Age";""Middle-earth","Gondor"";"1";"Ted Nasmith";""
"3";"ChamberOfMazarbul";"Chamber of Mazarbul";"Chamber of Mazarbul";"";"Hall";"http://tolkiengateway.net/wiki/Chamber_of_Mazarbul";"Third Age";""Middle-earth","Moria"";"2";"";""
"3";"Chetwood";"Chetwood";"Chetwood";"";"Woodland";"http://tolkiengateway.net/wiki/Chetwood";"Third Age";""Middle-earth","Eriador"";"1";"Matěj Čadil";""
"3";"Ciril";"Ciril";"Ciril";"";"River";"http://tolkiengateway.net/wiki/Ciril";"Third Age";""Middle-earth","Gondor"";"1";"";""
"2";"CirithGorgor";"Cirith Gorgor";"Cirith Gorgor";"";"Pass";"http://tolkiengateway.net/wiki/Cirith_Gorgor";"Third Age";""Middle-earth","Rhovanion"";"1";"Ted Nasmith";""
"3";"CirithNinniach";"Cirith Ninniach";"Cirith Ninniach";"";"Pass";"http://tolkiengateway.net/wiki/Cirith_Ninniach";"First Age";""Middle-earth","Beleriand"";"2";"Ted Nasmith";""
"2";"CirithThoronath";"Cirith Thoronath";"Cirith Thoronath";"";"Pass";"http://tolkiengateway.net/wiki/Cirith_Thoronath";"First Age";""Middle-earth","Beleriand"";"2";"";""
"4";"CirithUngol";"Cirith Ungol";"Cirith Ungol";"";"Pass";"http://tolkiengateway.net/wiki/Cirith_Ungol";"Third Age";""Middle-earth","Mordor"";"2";"Anke Eissmann";""
"4";"CitadelOfGondor";"Citadel of Gondor";"Citadel of Gondor";"";"Tower";"http://tolkiengateway.net/wiki/Citadel_of_Gondor";"Third Age";""Middle-earth","Minas Tirith"";"2";"";""
"3";"CityWall";"City Wall";"City Wall";"";"Wall";"http://tolkiengateway.net/wiki/City_Wall";"Third Age";""Middle-earth","Minas Tirith"";"2";"";""
"2";"CobasHaven";"Cobas Haven";"Cobas Haven";"";"Harbour";"http://tolkiengateway.net/wiki/Cobas_Haven";"Third Age";""Middle-earth","Gondor"";"2";"";""
"2";"Coldfells";"Coldfells";"Coldfells";"";"Region";"http://tolkiengateway.net/wiki/Coldfells";"Third Age";""Middle-earth","Eriador"";"2";"";""
"2";"Combe";"Combe";"Combe";"";"Village";"http://tolkiengateway.net/wiki/Combe";"Third Age";""Middle-earth","Arnor"";"2";"";""
"3";"CracksOfDoom";"Cracks of Doom";"Cracks of Doom";"";"Place";"http://tolkiengateway.net/wiki/Cracks_of_Doom";"Third Age";""Middle-earth","Mordor"";"2";"";""
"2";"Crickhollow";"Crickhollow";"Crickhollow";"";"Village";"http://tolkiengateway.net/wiki/Crickhollow";"Third Age";""Middle-earth","The Shire"";"2";"";""
"5";"Crissaegrim";"Crissaegrim";"Crissaegrim";"";"Mountain Range";"http://tolkiengateway.net/wiki/Crissaegrim";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"CrossingsOfErui";"Crossings of Erui";"Crossings of Erui";"";"Ford";"http://tolkiengateway.net/wiki/Crossings_of_Erui";"Third Age";""Middle-earth","Gondor"";"2";"";""
"2";"CrossingsOfTheTaeglin";"Crossings of the Taeglin";"Crossings of the Taeglin";"";"Place";"http://tolkiengateway.net/wiki/Crossings_of_the_Taeglin";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"CrossRoads";"Cross-roads";"Cross-roads";"";"Road";"http://tolkiengateway.net/wiki/Cross-roads";"Third Age";""Middle-earth","Gondor"";"1";"Ted Nasmith";""
"7";"Cuivienen";"Cuiviénen";"Cuivienen";"";"Bay";"http://tolkiengateway.net/wiki/Cuivi%C3%A9nen";"First Age";""Middle-earth","EasternLands"";"1";"Ted Nasmith";""
"1";"CulBin";"Cûl Bîn";"Cul Bin";"";"Mountain Range";"http://tolkiengateway.net/wiki/C%C3%BBl_B%C3%AEn";"Third Age";""Middle-earth","Gondor"";"2";"";""
"1";"CulVeleg";"Cûl Veleg";"Cul Veleg";"";"Mountain Range";"http://tolkiengateway.net/wiki/C%C3%BBl_Veleg";"Third Age";""Middle-earth","Gondor"";"2";"";""
"2";"Dagorlad";"Dagorlad";"Dagorlad";"";"Region";"http://tolkiengateway.net/wiki/Dagorlad";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
