significance;uniquename;name;searchname;altname;location;gender;born;died;gatewaylink;race;illustrator;placeholder
"4";"ailinel";"Ailinel";"Ailinel";"";"Númenor";"female";"S.A. 712 ";"";"http://tolkiengateway.net/wiki/Ailinel";"Númenórean";"";""
"6";"alatar";"Alatar";"Alatar";""Ithryn Luin","Pallando","Morinehtar and Rómestámo"";"";"male";"";"";"http://tolkiengateway.net/wiki/Alatar";"Maia";"";""
"4";"aldamir";"Aldamir";"Aldamir";"King of Gondor";"Gondor";"male";"T.A. 1330 ";"T.A. 1540 (aged 210)";"http://tolkiengateway.net/wiki/Aldamir";" Gondorian";"";""
"3";"aldor";"Aldor";"Aldor";""the Old",King of Rohan";"Rohan";"male";"T.A. 2544 ";"T.A. 2645 (aged 101)";"http://tolkiengateway.net/wiki/Aldor";"Rohir";"";""
"2";"alfridaOfTheYale";"Alfrida of the Yale";"Alfrida of the Yale";"Alfrida Bolger";""The Yale","Budgeford"";"female";"c. S.R. 1131";"";"http://tolkiengateway.net/wiki/Alfrida_of_the_Yale";"Hobbit";"";""
"3";"almarian";"Almarian";"Almarian";"Queen of Númenor";"Númenor";"female";"Before S.A. 700";"After S.A. 900 ";"http://tolkiengateway.net/wiki/Almarian";"Númenórean";"";""
"4";"almiel";"Almiel";"Almiel";"";"Númenor";"female";"S.A. 729,Forostar";"";"http://tolkiengateway.net/wiki/Almiel";"Númenórean";"";""
"2";"alphros";"Alphros";"Alphros";"Prince of Dol Amroth";"Gondor";"male";"T.A. 3017 ";"Fo.A. 95 (aged 99)";"http://tolkiengateway.net/wiki/Alphros";"Gondorian";"";""
"3";"amandilLordOfAndunie";"Amandil (Lord of Andúnië)";"Amandil (Lord of Andunie)";"Lord of Andúnië";"Númenor";"male";"Before S.A. 3119 ";"S.A. 3316,Rómenna";"http://tolkiengateway.net/wiki/Amandil_%28Lord_of_And%C3%BAni%C3%AB%29";"Númenórean";"";""
"2";"amaranthBrandybuck";"Amaranth Brandybuck";"Amaranth Brandybuck";"";"Buckland";"female";"S.R. 1304";"S.R. 1398 (aged 94)";"http://tolkiengateway.net/wiki/Amaranth_Brandybuck";"Hobbit";"";""
"5";"amarie";"Amarië";"Amarie";"";"Valinor";"female";"";"";"http://tolkiengateway.net/wiki/Amari%C3%AB";"Vanya";"Janka Latečková";""
"3";"amdir";"Amdír";"Amdir";"Malgalad";"Lórinand";"male";"Unknown (First Age)";"S.A. 3434, Battle of Dagorlad";"http://tolkiengateway.net/wiki/Amd%C3%ADr";"Sinda";"";""
"2";"amethystHornblower";"Amethyst Hornblower";"Amethyst Hornblower";"Amethyst Bolger";"Budgeford";"female";"c. S.R. 1260";"";"http://tolkiengateway.net/wiki/Amethyst_Hornblower";"Hobbit";"";""
"3";"amlach";"Amlach";"Amlach";"";"";"male";"F.A. 337 ";"";"http://tolkiengateway.net/wiki/Amlach";"Adan";"";""
"2";"amlaith";"Amlaith";"Amlaith";"";"Arthedain";"male";"T.A. 726 ";"T.A. 946 (aged 220)";"http://tolkiengateway.net/wiki/Amlaith";"Arnorian";"";""
"2";"amras";"Amras";"Amras";""Pityafinwë","Ambarussa"";"Tirion";"male";"during Years of the Trees, Tirion";"F.A. 538 Third Kinslaying at the Havens of Sirion";"http://tolkiengateway.net/wiki/Amras";"Noldo";"";""
"2";"amrod";"Amrod";"Amrod";""Telufinwë","Ambarussa or Umbarto/Ambarto"";"";"male";"during Years of the Trees, Tirion";"Y.T. 1497, Losgar";"http://tolkiengateway.net/wiki/Amrod";"Noldo";"";""
"2";"amrodamras";"Amrod and Amras";"Amrod and Amras";"";"";"male";"";"";"";"";"";""
"4";"amroth";"Amroth";"Amroth";"King of Lórien";"Lothlórien";"male";"";"T.A. 1981,Bay of Belfalas";"http://tolkiengateway.net/wiki/Amroth";"Sinda";"Janka Latečková";""
"3";"amrothos";"Amrothos";"Amrothos";"";"Gondor";"male";"T.A. 2994 ";"";"http://tolkiengateway.net/wiki/Amrothos";"Gondorian";"";""
"4";"anaire";"Anairë";"Anaire";"";"";"female";"";"";"http://tolkiengateway.net/wiki/Anair%C3%AB";"Noldo";"Līga Kļaviņa";""
"2";"anardilKingOfGondor";"Anardil (King of Gondor)";"Anardil (King of Gondor)";"King of Gondor";"Gondor";"male";"T.A. 136 ";"T.A. 411 (aged 275)";"http://tolkiengateway.net/wiki/Anardil_%28King_of_Gondor%29";"Gondorian";"Matěj Čadil";""
"4";"anarion";"Anárion";"Anarion";"King of Gondor (joint)";""Númenor","Gondor"";"male";"S.A. 3219,Andúnië, Númenor";"S.A. 3440 (aged 221),During Siege of Barad-dûr";"http://tolkiengateway.net/wiki/Anarion";"Númenórean";"Ebe Kastein";""
"3";"anborn";"Anborn";"Anborn";"";""Ithilien","Gondor"";"male";"Late Third Age ";"";"http://tolkiengateway.net/wiki/Anborn";"Gondorian";"";""
"5";"ancalagon";"Ancalagon";"Ancalagon";"The Black";"Angmar";"";"F.A. 545";"F.A. 587";"http://tolkiengateway.net/wiki/Ancalagon";"Dragon";"Jenny Dolfen";""
"2";"andreth";"Andreth";"Andreth";"Saelind";"Ladros";"male";"F.A. 361 ";"";"http://tolkiengateway.net/wiki/Andreth";"Adan";"Marya Filatova";""
"2";"androg";"Andróg";"Androg";"";"Dor-Cúarthol";"male";"";"F.A. 489,Amon Rûdh";"http://tolkiengateway.net/wiki/Andr%C3%B3g";"Adan";"";""
"2";"andwiseRoper";"Andwise Roper";"Andwise Roper";"Andy";"Tighfield";"male";"S.R. 1323";"";"http://tolkiengateway.net/wiki/Andwise_Roper";"Hobbit";"";""
"3";"andvir";"Andvír";"Andvir";"";"Dor-Cúarthol";"male";"";"";"http://tolkiengateway.net/wiki/Andv%C3%ADr";"Adan";"";""
"3";"angamaite";"Angamaitë";"Angamaite";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Angamait%C3%AB";"Gondorian";"";""
"2";"angbor";"Angbor";"Angbor";""the Fearless","Lord of Lamedon"";""Lamedon","Gondor"";"male";"Late Third Age ";"";"http://tolkiengateway.net/wiki/Angbor";"Gondorian";"";""
"2";"angelicaBaggins";"Angelica Baggins";"Angelica Baggins";"";"The Shire";"female";"S.R. 1381";"";"http://tolkiengateway.net/wiki/Angelica_Baggins";"Hobbit";"";""
"2";"angelimir";"Angelimir";"Angelimir";"Prince of Dol Amroth";""Dol Amroth","Gondor"";"male";"T.A. 2866 ";"T.A. 2977 (aged 111)";"http://tolkiengateway.net/wiki/Angelimir";"Gondorian";"";""
"3";"angrim";"Angrim";"Angrim";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Angrim";"Adan";"";""
"4";"angrod";"Angrod";"Angrod";"Angaráto";""Tirion","Dorthonion"";"male";"between Y.T. 1300 & 1362, Tirion";"F.A. 455 (aged between 1,777 & 2,371),Dorthonion; Dagor Bragollach";"http://tolkiengateway.net/wiki/Angrod";"Noldo";"Marya Filatova";""
"3";"annael";"Annael";"Annael";"";"";"";"";"";"http://tolkiengateway.net/wiki/Annael";"Sinda";"";""
"2";"ansonRoper";"Anson Roper";"Anson Roper";"";"Tighfield";"male";"S.R. 1361";"";"http://tolkiengateway.net/wiki/Anson_Roper";"Hobbit";"";""
"2";"ar-adunakhor";"Ar-Adûnakhôr";"Ar-Adunakhor";""Tar-Herunúmen","King of Númenor"";"Númenor";"male";"S.A. 2709 ";"S.A. 2962 (aged 253)";"http://tolkiengateway.net/wiki/Ar-Ad%C3%BBnakh%C3%B4r";"Númenórean";"";""
"2";"ar-gimilzor";"Ar-Gimilzôr";"Ar-Gimilzor";""Tar-Telemnar","King of Númenor"";"Númenor";"male";"S.A. 2960 ";"S.A. 3177 (aged 217)";"http://tolkiengateway.net/wiki/Ar-Gimilz%C3%B4r";"Númenórean";"";""
"2";"ar-pharazon";"Ar-Pharazôn";"Ar-Pharazon";""Tar-Calion","The Golden"";"Númenor";"male";"S.A. 3118 ";"S.A. 3319 (aged 201),On the shores of Aman";"http://tolkiengateway.net/wiki/Ar-Pharaz%C3%B4n";"Númenórean";"";""
"2";"ar-sakalthor";"Ar-Sakalthôr";"Ar-Sakalthor";""Tar-Falassion","King of Númenor"";"Númenor";"male";"S.A. 2876 ";"S.A. 3102 (aged 226)";"http://tolkiengateway.net/wiki/Ar-Sakalth%C3%B4r";"Númenórean";"";""
"2";"ar-zimrathon";"Ar-Zimrathôn";"Ar-Zimrathon";""Tar-Hostamir","King of Númenor"";"Númenor";"male";"S.A. 2798 ";"S.A. 3033 (aged 235)";"http://tolkiengateway.net/wiki/Ar-Zimrath%C3%B4n";"Númenórean";"";""
"2";"arachon";"Arachon";"Arachon";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Arachon";"Adan";"";""
"4";"arador";"Arador";"Arador";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2820 ";"T.A. 2930 (aged 110),North of Rivendell";"http://tolkiengateway.net/wiki/Arador";"Arnorian";"";""
"4";"araglas";"Araglas";"Araglas";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2296 ";"T.A. 2455 (aged 159)";"http://tolkiengateway.net/wiki/Araglas";"Arnorian";"";""
"3";"aragorn1";"Aragorn I";"Aragorn I";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2227 ";"T.A. 2327 (aged 100)";"http://tolkiengateway.net/wiki/Aragorn_I";"Arnorian";"";""
"9";"aragorn2";"Aragorn II";"Aragorn II";""Strider","Estel","Elessar","Thorongil","Chieftain of the Dúnedain","King of the Reunited Kingdom"";"Rivendell,Gondor and Arnor";"male";"1 March T.A. 2931";"Fo.A. 120";"http://tolkiengateway.net/wiki/Aragorn";"Arnorian";"Matt Stewart";""
"4";"aragost";"Aragost";"Aragost";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2431 ";"T.A. 2588 (aged 157)";"http://tolkiengateway.net/wiki/Aragost";"Arnorian";"";""
"3";"arahad1";"Arahad I";"Arahad I";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2365 ";"T.A. 2523 (aged 158)";"http://tolkiengateway.net/wiki/Arahad_I";"Arnorian";"";""
"2";"arahad2";"Arahad II";"Arahad II";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2563 ";"T.A. 2719 (aged 156)";"http://tolkiengateway.net/wiki/Arahad_II";"Arnorian";"";""
"5";"arahael";"Arahael";"Arahael";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2012 ";"T.A. 2177 (aged 165)";"http://tolkiengateway.net/wiki/Arahael";"Arnorian";"";""
"3";"aranarth";"Aranarth";"Aranarth";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 1938 ";"T.A. 2106 (aged 168)";"http://tolkiengateway.net/wiki/Aranarth";"Arnorian";"";""
"3";"arantar";"Arantar";"Arantar";"King of Arnor";"Annúminas";"male";"T.A. 185 ";"T.A. 435 (aged 250)";"http://tolkiengateway.net/wiki/Arantar";"Arnorian";"";""
"2";"aranuir";"Aranuir";"Aranuir";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2084 ";"T.A. 2247 (aged 163)";"http://tolkiengateway.net/wiki/Aranuir";"Arnorian";"";""
"1";"aranwe";"Aranwë";"Aranwe";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Aranw%C3%AB";"Noldo";"";""
"3";"araphant";"Araphant";"Araphant";"King of Arthedain";"Arthedain";"male";"T.A. 1789 ";"T.A. 1964 (aged 175)";"http://tolkiengateway.net/wiki/Araphant";"Arnorian";"";""
"3";"araphor";"Araphor";"Araphor";"King of Arthedain";"Arthedain";"male";"T.A. 1391 ";"T.A. 1589 (aged 198)";"http://tolkiengateway.net/wiki/Araphor";"Arnorian";"";""
"2";"arassuil";"Arassuil";"Arassuil";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2628 ";"T.A. 2784 (aged 156)";"http://tolkiengateway.net/wiki/Arassuil";"Arnorian";"";""
"2";"aratan";"Aratan";"Aratan";"";"Gondor";"male";"S.A. 3339,Gondor";"T.A. 2 (aged 104),Disaster of the Gladden Fields";"http://tolkiengateway.net/wiki/Aratan";"Arnorian";"";""
"3";"arathorn1";"Arathorn I";"Arathorn I";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2696 ";"T.A. 2848 (aged 155)";"http://tolkiengateway.net/wiki/Arathorn_I";"Arnorian";"";""
"7";"arathorn2";"Arathorn II";"Arathorn II";"Chieftain of the Dúnedain";"";"male";"T.A. 2873 ";"T.A. 2933 (aged 60)";"http://tolkiengateway.net/wiki/Arathorn_II";"Arnorian";"";""
"3";"araval";"Araval";"Araval";"King of Arthedain";"Arthedain";"male";"T.A. 1711 ";"T.A. 1891 (aged 180)";"http://tolkiengateway.net/wiki/Araval";"Arnorian";"";""
"2";"aravir";"Aravir";"Aravir";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2156 ";"T.A. 2319 (aged 163)";"http://tolkiengateway.net/wiki/Aravir";"Arnorian";"";""
"2";"aravorn";"Aravorn";"Aravorn";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2497 ";"T.A. 2654 (aged 157)";"http://tolkiengateway.net/wiki/Aravorn";"Arnorian";"";""
"2";"arciryas";"Arciryas";"Arciryas";"";"Gondor";"male";"After T.A. 1684 ";"";"http://tolkiengateway.net/wiki/Arciryas";"Gondorian";"";""
"2";"ardamirSonOfAxantur";"Ardamir (son of Axantur)";"Ardamir (son of Axantur)";"";"Númenor";"male";"S.A. 562 ";"";"http://tolkiengateway.net/wiki/Ardamir_%28son_of_Axantur%29";"Númenórean";"";""
"6";"aredhel";"Aredhel";"Aredhel";""Írissë","Ar-Feiniel","White Lady of the Noldor"";"Gondolin";"female";"Y.T. 1362,Tirion";"F.A. 400 (aged 1,738 years), Gondolin";"http://tolkiengateway.net/wiki/Aredhel";"Noldo";"Līga Kļaviņa";""
"3";"arien";"Arien";"Arien";"";"";"female";"";"";"http://tolkiengateway.net/wiki/Arien";Maia;"NOLANOS";""
"2";"argeleb1";"Argeleb I";"Argeleb I";"King of Arthedain";"Arthedain";"male";"T.A. 1226 ";"T.A. 1356 (aged 130),Rhudaur";"http://tolkiengateway.net/wiki/Argeleb_I";"Arnorian";"";""
"2";"argeleb2";"Argeleb II";"Argeleb II";"King of Arthedain";"Arthedain";"male";"T.A. 1473 ";"T.A. 1670 (aged 197)";"http://tolkiengateway.net/wiki/Argeleb_II";"Arnorian";"";""
"3";"argon";"Argon";"Argon";""Arakáno"";"";"male";"During Years of the Trees ";"In Lammoth, during the Battle of the Lammoth";"http://tolkiengateway.net/wiki/Argon";"Noldo";"";""
"2";"argonui";"Argonui";"Argonui";"Chieftain of the Dúnedain";"Rivendell";"male";"T.A. 2757 ";"T.A. 2912 (aged 155)";"http://tolkiengateway.net/wiki/Argonui";"Arnorian";"";""
"2";"arminas";"Arminas";"Arminas";"";""Dorthonion","Mouths of Sirion"";"male";"";"";"http://tolkiengateway.net/wiki/Arminas";"Noldo";"Ted Nasmith";""
"2";"artamir";"Artamir";"Artamir";"";"Gondor";"male";"Before T.A. 1896";"T.A. 1944,Disaster of the Morannon";"http://tolkiengateway.net/wiki/Artamir";"Gondorian";"";""
"2";"arthad";"Arthad";"Arthad";"";"";"male";"";"F.A. 460,Tarn Aeluin";"http://tolkiengateway.net/wiki/Arthad";"Adan";"";""
"3";"arvedui";"Arvedui";"Arvedui";""Last King","King of Arthedain"";"Arthedain";"male";"T.A. 1864 ";"T.A. 1975 (aged 111),Icebay of Forochel";"http://tolkiengateway.net/wiki/Arvedui";"Arnorian";"";""
"3";"arvegil";"Arvegil";"Arvegil";"King of Arthedain";"Arthedain";"male";"T.A. 1553 ";"T.A. 1743 (aged 190)";"http://tolkiengateway.net/wiki/Arvegil";"Arnorian";"";""
"2";"arveleg1";"Arveleg I";"Arveleg I";"King of Arthedain";"Arthedain";"male";"T.A. 1309 ";"T.A. 1409 (aged 100),Fall of Amon Sûl";"http://tolkiengateway.net/wiki/Arveleg_I";"Arnorian";"";""
"3";"arveleg2";"Arveleg II";"Arveleg II";"King of Arthedain";"Arthedain";"male";"T.A. 1633 ";"T.A. 1813 (aged 180)";"http://tolkiengateway.net/wiki/Arveleg_II";"Arnorian";"";""
"8";"arwen";"Arwen";"Arwen";""Undómiel","Queen of Gondor"";""Rivendell","Lothlórien","Reunited Kingdom"";"female";"T.A. 241 ";"Fo.A. 121 (aged 2,901),Cerin Amroth, Lothlórien";"http://tolkiengateway.net/wiki/Arwen";"Half-Elf";"Mareishon";""
"3";"asgon";"Asgon";"Asgon";"";"Dor-lómin";"male";"";"";"http://tolkiengateway.net/wiki/Asgon";"Adan";"";""
"2";"asphodelBrandybuck";"Asphodel Brandybuck";"Asphodel Brandybuck";"Asphodel Burrows";"Buckland";"female";"S.R. 1313";"S.R. 1412 (aged 99)";"http://tolkiengateway.net/wiki/Asphodel_Brandybuck";"Hobbit";"";""
"2";"atanalcar";"Atanalcar";"Atanalcar";"";"Númenor";"male";"After S.A. 61 ";"";"http://tolkiengateway.net/wiki/Atanalcar";"Númenórean";"";""
"3";"atanatar1";"Atanatar I";"Atanatar I";"King of Gondor";"Gondor";"male";"T.A. 480 ";"T.A. 748 (aged 268)";"http://tolkiengateway.net/wiki/Atanatar_I";"Gondorian";"Matěj Čadil";""
"3";"atanatar2";"Atanatar II";"Atanatar II";""Alcarin","King of Gondor"";"Gondor";"male";"T.A. 977 ";"T.A. 1226 (aged 249)";"http://tolkiengateway.net/wiki/Atanatar_II";"Gondorian";"Matěj Čadil";""
"8";"aule";"Aulë";"Aule";""Aȝūlēz","Óli","Mahal","The Great Smith","Smith","Maker","Friend of the Noldor"";"Mansions of Aulë";"male";"";"";"http://tolkiengateway.net/wiki/Aul%C3%AB";"Vala";"Ted Nasmith";""
"3";"aulendilSonOfVardamir";"Aulendil (son of Vardamir)";"Aulendil (son of Vardamir)";"";"Númenor";"male";"S.A. 213 ";"";"http://tolkiengateway.net/wiki/Aulendil_%28son_of_Vardamir%29";"Númenórean";"";""
"2";"axantur";"Axantur";"Axantur";"";"Númenor";"male";"S.A. 395 ";"";"http://tolkiengateway.net/wiki/Axantur";"Númenórean";"";""
"1";"azaghal";"Azaghâl";"Azaghal";"";"Belegost";"male";"";"F.A. 472 Nirnaeth Arnoediad";"http://tolkiengateway.net/wiki/Azagh%C3%A2l";"Dwarf";"";""
"7";"azog";"Azog";"Azog";"";"";"male";"";"T.A. 2799";"http://tolkiengateway.net/wiki/Azog";"Orc";"";""
"5";"bain";"Bain";"Bain";"King of Dale";""Lake-town","Dale"";"male";"";"T.A. 3007 ";"http://tolkiengateway.net/wiki/Bain";"Man";"";""
"2";"balboBaggins";"Balbo Baggins";"Balbo Baggins";"";"Hobbiton";"male";"S.R. 1167";"S.R. 1258 (aged 91)";"http://tolkiengateway.net/wiki/Balbo_Baggins";"Hobbit";"";""
"3";"balcmeg";"Balcmeg";"Balcmeg";"";"Gondolin";"male";"";"";"http://tolkiengateway.net/wiki/Balcmeg";"Orc";"";""
"2";"baldor";"Baldor";"Baldor";"the Hapless";"Rohan";"male";"Before T.A. 2544 ";"T.A. 2570,Paths of the Dead";"http://tolkiengateway.net/wiki/Baldor";"Rohir";"";""
"6";"balin";"Balin";"Balin";"Lord of Moria";""Thorin's Halls","Lonely Mountain","Khazad-dûm"";"male";"T.A. 2763";"10 November, T.A. 2994 (aged 231) Dimrill Dale";"http://tolkiengateway.net/wiki/Balin";"Dwarf";"Francesco Amadio";""
"2";"bandobrasTook";"Bandobras Took";"Bandobras Took";"Bullroarer";"The Shire";"male";"T.A. 2704";"T.A. 2806 (aged 102)";"http://tolkiengateway.net/wiki/Bandobras_Took";"Hobbit";"";""
"2";"baragund";"Baragund";"Baragund";"";"";"male";"F.A. 420 ";"F.A. 460 (aged 40),Tarn Aeluin";"http://tolkiengateway.net/wiki/Baragund";"Adan";"";""
"3";"barahir";"Barahir";"Barahir";"4th Lord of Ladros";"Ladros";"male";"F.A. 400 ";"F.A. 460 (aged 60),Tarn Aeluin";"http://tolkiengateway.net/wiki/Barahir";"Adan";"Anke Eissmann";""
"3";"barahirGrandsonFaramir";"Barahir (grandson of Faramir)";"Barahir (grandson of Faramir)";"";"Gondor";"male";"Around 2nd century of Fourth Age";"";"http://tolkiengateway.net/wiki/Barahir_%28grandson_of_Faramir%29";"Gondorian";"";""
"2";"barahirStewardOfGondor";"Barahir (Steward of Gondor)";"Barahir (Steward of Gondor)";"Ruling Steward";"Gondor";"male";"T.A. 2290 ";"T.A. 2412 (aged 122)";"http://tolkiengateway.net/wiki/Barahir_%28Steward_of_Gondor%29";"Gondorian";"";""
"2";"baran";"Baran";"Baran";"2nd Head of the House of Bëor";"Estolad";"male";"F.A. 289,East of the Blue Mountains";"F.A. 380 (aged 91)";"http://tolkiengateway.net/wiki/Baran";"Adan";"";""
"2";"baranorSonOfBaran";"Baranor (son of Baran)";"Baranor (son of Baran)";"";"";"male";"F.A. 317 ";"";"http://tolkiengateway.net/wiki/Baranor_%28son_of_Baran%29";"Adan";"";""
"2";"baranorManOfGondor";"Baranor (man of Gondor)";"Baranor (man of Gondor)";"";"Gondor";"male";"Late Third Age ";"";"http://tolkiengateway.net/wiki/Baranor_%28man_of_Gondor%29";"Gondorian";"";""
"8";"bard1";"Bard";"Bard";""Bard I","Bard the Bowman","King of Dale"";""Lake-town","Dale"";"male";"";"T.A. 2977 ";"http://tolkiengateway.net/wiki/Bard";"Man";"Soni Alcorn-Hender";""
"3";"bard2";"Bard II";"Bard II";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Bard_II";"";"";""
"2";"bassoBoffin";"Basso Boffin";"Basso Boffin";"";"The Yale";"male";"S.R. 1169";"";"http://tolkiengateway.net/wiki/Basso_Boffin";"Hobbit";"";""
"1";"beechbone";"Beechbone";"Beechbone";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Beechbone";"Ent";"";""
"2";"belbaBaggins";"Belba Baggins";"Belba Baggins";"";"Budgeford";"female";"S.R. 1256";"S.R. 1356 (aged 100)";"http://tolkiengateway.net/wiki/Belba_Baggins";"Hobbit";"";""
"2";"belecthor1";"Belecthor I";"Belecthor I";"Ruling Steward";"Gondor";"male";"T.A. 2545 ";"T.A. 2655 (aged 110)";"http://tolkiengateway.net/wiki/Belecthor_I";"Gondorian";"";""
"2";"belecthor2";"Belecthor II";"Belecthor II";"Ruling Steward";"Gondor";"male";"T.A. 2752 ";"T.A. 2872 (aged 120)";"http://tolkiengateway.net/wiki/Belecthor_II";"Gondorian";"";""
"3";"beleg";"Beleg";"Beleg";""Cúthalion","Beleg the Archer"";"Doriath";"male";"";"F.A. 490,Taur-nu-Fuin";"http://tolkiengateway.net/wiki/Beleg";"Sinda";"Alaïs";""
"3";"belegKingOfArthedain";"Beleg (King of Arthedain)";"Beleg (King of Arthedain)";"King of Arthedain";"Arthedain";"male";"T.A. 811 ";"T.A. 1029 (aged 218)";"http://tolkiengateway.net/wiki/Beleg_%28King_of_Arthedain%29";"Arnorian";"";""
"2";"belegor";"Belegor";"Belegor";"";"";"male";"F.A. 340 ";"";"http://tolkiengateway.net/wiki/Belegor";"Adan";"";""
"2";"belegorn";"Belegorn";"Belegorn";"Ruling Steward";"Gondor";"male";"T.A. 2074 ";"T.A. 2204 (aged 130)";"http://tolkiengateway.net/wiki/Belegorn";"Gondorian";"";""
"2";"belegund";"Belegund";"Belegund";"";"";"male";"F.A. 422 ";"F.A. 460 (aged 38),Tarn Aeluin";"http://tolkiengateway.net/wiki/Belegund";"Adan";"";""
"3";"belemir";"Belemir";"Belemir";"";"";"male";"F.A. 339,Presumably Hithlum";"";"http://tolkiengateway.net/wiki/Belemir";"Adan";"";""
"2";"beldir";"Beldir";"Beldir";"";"";"male";"F.A. 316 ";"";"http://tolkiengateway.net/wiki/Beldir";"Adan";"";""
"2";"beldis";"Beldis";"Beldis";"";"";"female";"F.A. 411 ";"";"http://tolkiengateway.net/wiki/Beldis";"Adan";"";""
"3";"belen";"Belen";"Belen";"";"";"male";"";"F.A. 292,East of the Blue Mountains";"http://tolkiengateway.net/wiki/Belen";"Adan";"";""
"2";"beleth";"Beleth";"Beleth";"";"";"male";"F.A. 417";"";"http://tolkiengateway.net/wiki/Beleth";"Adan";"";""
"3";"belladonnaTook";"Belladonna Took";"Belladonna Took";"Mrs Bungo Baggins";""Bag End","Hobbiton"";"female";"T.A. 2852";"T.A. 2934 (aged 82)";"http://tolkiengateway.net/wiki/Belladonna_Took";"Hobbit";"";""
"2";"bellGoodchild";"Bell Goodchild";"Bell Goodchild";"Bell Gamgee";"The Shire";"female";"c. S.R. 1326";"";"http://tolkiengateway.net/wiki/Bell_Gamgee";"Hobbit";"";""
"1";"belthil";"Belthil";"Belthil";"";"";"";"";"";"http://tolkiengateway.net/wiki/Belthil";"Tree";"";""
